Number of documents of the corpus: 15397
Number of words of the corpus: 6957
Word:arrest Frec:109 LogProb:-7.8687586089717945
Word:arriv Frec:36 LogProb:-8.958321062119987
Word:arrog Frec:5 LogProb:-10.777479505536157
Word:arrow Frec:7 LogProb:-10.489797433084375
Word:ars Frec:5 LogProb:-10.777479505536157
Word:arsehol Frec:15 LogProb:-9.79665025252443
Word:art Frec:16 LogProb:-9.736025630707996
Word:arthriti Frec:2 LogProb:-11.470626686096102
Word:articl Frec:68 LogProb:-8.335132470166952
Word:artifici Frec:10 LogProb:-10.17134370196584
Word:artist Frec:12 LogProb:-10.004289617302675
Word:as Frec:82 LogProb:-8.150398366967613
Word:asa Frec:4 LogProb:-10.959801062330111
Word:asap Frec:10 LogProb:-10.17134370196584
Word:ash Frec:4 LogProb:-10.959801062330111
Word:asham Frec:43 LogProb:-8.78504934084595
Word:ashley Frec:13 LogProb:-9.930181645148952
Word:asia Frec:27 LogProb:-9.237034464589007
Word:asian Frec:62 LogProb:-8.426104248372678
Word:asid Frec:15 LogProb:-9.79665025252443
Word:ask Frec:288 LogProb:-6.902812286651779
Word:asp Frec:5 LogProb:-10.777479505536157
Word:aspect Frec:6 LogProb:-10.623328825708898
Word:ass Frec:127 LogProb:-7.717208710844594
Word:assault Frec:15 LogProb:-9.79665025252443
Word:assembl Frec:2 LogProb:-11.470626686096102
Word:assess Frec:16 LogProb:-9.736025630707996
Word:asset Frec:32 LogProb:-9.072731413297731
Word:assist Frec:60 LogProb:-8.4583651105909
Word:assoc Frec:2 LogProb:-11.470626686096102
Word:associ Frec:43 LogProb:-8.78504934084595
Word:assum Frec:13 LogProb:-9.930181645148952
Word:assumpt Frec:3 LogProb:-11.18294461364432
Word:assur Frec:19 LogProb:-9.57350670121022
Word:asthma Frec:19 LogProb:-9.57350670121022
Word:asthmat Frec:3 LogProb:-11.18294461364432
Word:aston Frec:3 LogProb:-11.18294461364432
Word:astoria Frec:2 LogProb:-11.470626686096102
Word:astound Frec:2 LogProb:-11.470626686096102
Word:astronom Frec:5 LogProb:-10.777479505536157
Word:asur Frec:2 LogProb:-11.470626686096102
Word:aswan Frec:4 LogProb:-10.959801062330111
Word:asymptomat Frec:13 LogProb:-9.930181645148952
Word:at Frec:60 LogProb:-8.4583651105909
Word:ate Frec:7 LogProb:-10.489797433084375
Word:athabasca Frec:4 LogProb:-10.959801062330111
Word:athlet Frec:2 LogProb:-11.470626686096102
Word:atla Frec:2 LogProb:-11.470626686096102
Word:atlant Frec:2 LogProb:-11.470626686096102
Word:atlanta Frec:4 LogProb:-10.959801062330111
Word:atm Frec:11 LogProb:-10.084332324976211
Word:atom Frec:2 LogProb:-11.470626686096102
Word:att Frec:7 LogProb:-10.489797433084375
Word:attach Frec:12 LogProb:-10.004289617302675
Word:attack Frec:77 LogProb:-8.212530148074618
Word:attempt Frec:46 LogProb:-8.719091373054152
Word:attend Frec:27 LogProb:-9.237034464589007
Word:attende Frec:2 LogProb:-11.470626686096102
Word:attent Frec:33 LogProb:-9.04287845014805
Word:attitud Frec:20 LogProb:-9.524716537040788
Word:attorney Frec:62 LogProb:-8.426104248372678
Word:attract Frec:5 LogProb:-10.777479505536157
Word:attribut Frec:5 LogProb:-10.777479505536157
Word:au Frec:5 LogProb:-10.777479505536157
Word:auckland Frec:2 LogProb:-11.470626686096102
Word:auction Frec:11 LogProb:-10.084332324976211
Word:audac Frec:3 LogProb:-11.18294461364432
Word:audienc Frec:5 LogProb:-10.777479505536157
Word:audio Frec:5 LogProb:-10.777479505536157
Word:aug Frec:7 LogProb:-10.489797433084375
Word:august Frec:6 LogProb:-10.623328825708898
Word:aunt Frec:6 LogProb:-10.623328825708898
Word:aunti Frec:2 LogProb:-11.470626686096102
Word:aussi Frec:8 LogProb:-10.372014397427991
Word:auster Frec:4 LogProb:-10.959801062330111
Word:austin Frec:2 LogProb:-11.470626686096102
Word:australia Frec:60 LogProb:-8.4583651105909
Word:australian Frec:55 LogProb:-8.543887284029061
Word:authent Frec:4 LogProb:-10.959801062330111
Word:author Frec:62 LogProb:-8.426104248372678
Word:authoris Frec:3 LogProb:-11.18294461364432
Word:autism Frec:2 LogProb:-11.470626686096102
Word:autist Frec:2 LogProb:-11.470626686096102
Word:auto Frec:20 LogProb:-9.524716537040788
Word:autoimmun Frec:4 LogProb:-10.959801062330111
Word:autom Frec:11 LogProb:-10.084332324976211
Word:automat Frec:3 LogProb:-11.18294461364432
Word:automot Frec:10 LogProb:-10.17134370196584
Word:avail Frec:208 LogProb:-7.2269047227994
Word:avalanch Frec:2 LogProb:-11.470626686096102
Word:ave Frec:5 LogProb:-10.777479505536157
Word:avenu Frec:4 LogProb:-10.959801062330111
Word:averag Frec:42 LogProb:-8.808038859070649
Word:avers Frec:3 LogProb:-11.18294461364432
Word:avert Frec:4 LogProb:-10.959801062330111
Word:avg Frec:4 LogProb:-10.959801062330111
Word:aviat Frec:4 LogProb:-10.959801062330111
Word:avoid Frec:306 LogProb:-6.842391227177014
Word:aw Frec:24 LogProb:-9.35036314989601
Word:await Frec:7 LogProb:-10.489797433084375
Word:awak Frec:2 LogProb:-11.470626686096102
Word:awar Frec:69 LogProb:-8.320743732714853
Word:awash Frec:4 LogProb:-10.959801062330111
Word:away Frec:164 LogProb:-7.463293500863631
Word:awesom Frec:4 LogProb:-10.959801062330111
Word:awhil Frec:5 LogProb:-10.777479505536157
Word:awkward Frec:2 LogProb:-11.470626686096102
Word:axe Frec:3 LogProb:-11.18294461364432
Word:aye Frec:3 LogProb:-11.18294461364432
Word:ayurveda Frec:7 LogProb:-10.489797433084375
Word:babbl Frec:2 LogProb:-11.470626686096102
Word:babi Frec:74 LogProb:-8.251750861227901
Word:babysitt Frec:2 LogProb:-11.470626686096102
Word:back Frec:341 LogProb:-6.734428237701606
Word:backbon Frec:3 LogProb:-11.18294461364432
Word:backdrop Frec:2 LogProb:-11.470626686096102
Word:background Frec:2 LogProb:-11.470626686096102
Word:backlash Frec:2 LogProb:-11.470626686096102
Word:backpack Frec:2 LogProb:-11.470626686096102
Word:bacon Frec:4 LogProb:-10.959801062330111
