Number_of_documents: 18046
Number_of_words: 7273
Word:akin Frec:2 LogProb:-12.131503541430432
Word:akita Frec:2 LogProb:-12.131503541430432
Word:al Frec:55 LogProb:-9.204764139363391
Word:alabama Frec:9 LogProb:-10.927530737104496
Word:alan Frec:6 LogProb:-11.284205681043227
Word:alarm Frec:11 LogProb:-10.74520918031054
Word:albanian Frec:2 LogProb:-12.131503541430432
Word:albert Frec:6 LogProb:-11.284205681043227
Word:alberta Frec:10 LogProb:-10.83222055730017
Word:album Frec:5 LogProb:-11.438356360870486
Word:alcohol Frec:214 LogProb:-7.859477801970878
Word:alert Frec:93 LogProb:-8.686821047828538
Word:alex Frec:15 LogProb:-10.457527107858759
Word:alexi Frec:3 LogProb:-11.84382146897865
Word:algerian Frec:2 LogProb:-12.131503541430432
Word:algorithm Frec:4 LogProb:-11.620677917664441
Word:ali Frec:23 LogProb:-10.052061999750595
Word:alien Frec:5 LogProb:-11.438356360870486
Word:align Frec:6 LogProb:-11.284205681043227
Word:alik Frec:8 LogProb:-11.032891252762322
Word:aliv Frec:36 LogProb:-9.619197917454317
Word:aliyah Frec:3 LogProb:-11.84382146897865
Word:alkalin Frec:2 LogProb:-12.131503541430432
Word:all Frec:2674 LogProb:-5.338411170768434
Word:allah Frec:10 LogProb:-10.83222055730017
Word:allan Frec:2 LogProb:-12.131503541430432
Word:alleg Frec:4 LogProb:-11.620677917664441
Word:allegedli Frec:7 LogProb:-11.150674288418704
Word:allen Frec:4 LogProb:-11.620677917664441
Word:allergi Frec:7 LogProb:-11.150674288418704
Word:allevi Frec:9 LogProb:-10.927530737104496
Word:alli Frec:7 LogProb:-11.150674288418704
Word:allianc Frec:3 LogProb:-11.84382146897865
Word:alloc Frec:14 LogProb:-10.52206562899633
Word:allot Frec:2 LogProb:-12.131503541430432
Word:allow Frec:273 LogProb:-7.616987723710471
Word:allstat Frec:5 LogProb:-11.438356360870486
Word:almond Frec:5 LogProb:-11.438356360870486
Word:almost Frec:96 LogProb:-8.655404851595158
Word:alo Frec:17 LogProb:-10.339744072202377
Word:alon Frec:37 LogProb:-9.592529670372155
Word:along Frec:63 LogProb:-9.071232746738868
Word:alongsid Frec:8 LogProb:-11.032891252762322
Word:alp Frec:2 LogProb:-12.131503541430432
Word:alpha Frec:5 LogProb:-11.438356360870486
Word:alphabet Frec:5 LogProb:-11.438356360870486
Word:alpin Frec:2 LogProb:-12.131503541430432
Word:alreadi Frec:201 LogProb:-7.9218481326973365
Word:alright Frec:6 LogProb:-11.284205681043227
Word:also Frec:567 LogProb:-6.88799441137739
Word:alter Frec:14 LogProb:-10.52206562899633
